player_id,player_name,team,position,date,injury_risk_score,risk_category,model_version,model_accuracy,model_precision,model_recall,model_f1,model_note
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-02-19,1.1,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-02-20,5.8,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-02-21,5.8,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-02-22,6.3,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-02-23,27.2,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-02-24,7.8,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-02-25,0.3,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-02-26,6.1,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-02-27,0.3,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-02-28,0.3,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-01,28.2,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-02,6.3,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-03,12.7,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-04,20.4,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-05,0.0,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-06,0.6,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-07,0.0,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-08,1.4,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-09,0.6,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-10,21.2,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-11,72.5,Elevated,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-12,2.8,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-13,0.6,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-14,24.1,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-15,0.3,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-16,6.9,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-17,0.6,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-18,11.8,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-19,0.8,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-20,0.6,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-21,14.3,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-22,6.3,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-23,8.5,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-24,16.8,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-25,6.6,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-26,0.8,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-27,0.3,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-28,11.8,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-29,7.5,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-30,9.4,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-31,16.8,Low,synthetic-rf-v1,0.915,0.2,0.015,0.029,Sports analytics simulation only. Not a clinical or medical injury prediction model.
