player_id,player_name,team,position,date,session_type,workload_score,workload_7d_avg,workload_28d_avg,acwr,throwing_volume,throwing_7d_avg,sprint_count,sprint_7d_avg,workload_spike_flag
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-02-19,Rest Day,0.0,0.0,0.0,0.0,1,1.0,1,1.0,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-02-20,Practice,354.6,177.3,177.3,1.0,43,22.0,17,9.0,True
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-02-21,Game,538.8,297.8,297.8,1.0,58,34.0,32,16.67,True
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-02-22,Practice,364.9,314.58,314.58,1.0,40,35.5,21,17.75,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-02-23,Practice,404.4,332.54,332.54,1.0,47,37.8,19,18.0,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-02-24,Game,543.2,367.65,367.65,1.0,71,43.33,12,17.0,True
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-02-25,Practice,252.7,351.23,351.23,1.0,32,41.71,14,16.57,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-02-26,Rest Day,0.0,351.23,307.32,1.143,2,41.86,0,16.43,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-02-27,Practice,319.95,346.28,308.73,1.122,55,43.57,16,16.29,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-02-28,Game,449.5,333.52,322.8,1.033,49,42.29,27,15.57,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-01,Practice,508.8,354.08,339.71,1.042,34,41.43,17,15.0,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-02,Travel Day,88.7,308.98,318.8,0.969,8,35.86,4,12.86,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-03,Game,539.2,308.41,335.75,0.919,42,31.71,16,13.43,True
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-04,Game,570.9,353.86,352.55,1.004,45,33.57,20,14.29,True
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-05,Rest Day,61.9,362.71,333.17,1.089,0,33.29,1,14.43,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-06,Practice,333.1,364.59,333.17,1.094,38,30.86,28,16.14,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-07,Practice,365.6,352.6,335.07,1.052,47,30.57,21,15.29,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-08,Recovery,60.0,288.49,319.79,0.902,4,26.29,1,13.0,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-09,Strength Training,345.8,325.21,321.16,1.013,17,27.57,7,13.43,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-10,Game,645.9,340.46,337.4,1.009,66,31.0,33,15.86,True
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-11,Game,563.3,339.37,348.15,0.975,65,33.86,8,14.14,True
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-12,Rest Day,41.5,336.46,334.22,1.007,0,33.86,1,14.14,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-13,Practice,394.6,345.24,336.84,1.025,29,32.57,12,11.86,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-14,Game,462.2,359.04,342.06,1.05,47,32.57,28,12.86,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-15,Practice,366.4,402.81,343.04,1.174,24,35.43,10,14.14,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-16,Travel Day,0.0,353.41,329.84,1.071,2,33.29,4,13.71,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-17,Practice,299.8,303.97,328.73,0.925,36,29.0,16,11.29,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-18,Game,598.8,309.04,338.38,0.913,43,25.86,28,14.14,True
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-19,Rest Day,75.6,313.91,341.08,0.92,3,26.29,0,14.0,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-20,Strength Training,196.6,285.63,335.43,0.852,8,23.29,1,12.43,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-21,Game,447.2,283.49,332.16,0.853,55,24.43,11,10.0,True
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-22,Practice,436.0,293.43,334.7,0.877,27,24.86,20,11.43,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-23,Travel Day,98.9,307.56,323.79,0.95,4,25.14,4,11.43,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-24,Game,542.4,342.21,323.76,1.057,54,27.71,19,11.86,True
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-25,Practice,398.9,313.66,328.98,0.953,43,27.71,29,12.0,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-26,Rest Day,3.2,303.31,329.1,0.922,2,27.57,0,12.0,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-27,Recovery,109.2,290.83,321.57,0.904,7,27.43,0,11.86,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-28,Game,545.3,304.84,324.99,0.938,50,26.71,15,12.43,True
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-29,Practice,442.3,305.74,322.62,0.948,43,29.0,22,12.71,True
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-30,Practice,349.4,341.53,331.93,1.029,24,31.86,19,14.86,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-03-31,Game,452.3,328.66,328.82,1.0,66,33.57,27,16.0,True
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-04-01,Practice,272.6,310.61,318.17,0.976,46,34.0,27,15.71,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-04-02,Rest Day,0.0,310.16,315.96,0.982,3,34.14,0,15.71,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-04-03,Practice,348.4,344.33,316.51,1.088,36,38.29,21,18.71,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-04-04,Game,416.5,325.93,318.32,1.024,33,35.86,27,20.43,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-04-05,Recovery,142.1,283.04,321.26,0.881,8,30.86,7,18.29,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-04-06,Travel Day,95.2,246.73,312.31,0.79,4,28.0,6,16.43,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-04-07,Strength Training,290.8,223.66,299.62,0.746,17,21.0,13,14.43,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-04-08,Game,445.3,248.33,295.41,0.841,17,16.86,27,14.43,True
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-04-09,Rest Day,83.8,260.3,296.92,0.877,4,17.0,0,14.43,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-04-10,Strength Training,113.8,226.79,286.89,0.791,10,13.29,9,12.71,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-04-11,Practice,285.5,208.07,280.58,0.742,39,14.14,20,11.71,True
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-04-12,Practice,362.3,239.53,280.44,0.854,56,21.0,20,13.57,True
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-04-13,Travel Day,69.4,235.84,282.91,0.834,1,20.57,1,12.86,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-04-14,Strength Training,284.4,234.93,282.36,0.832,5,18.86,7,12.0,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-04-15,Game,547.8,249.57,280.54,0.89,55,24.29,22,11.29,True
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-04-16,Rest Day,10.3,239.07,278.21,0.859,3,24.14,1,11.43,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-04-17,Strength Training,281.9,263.09,281.26,0.935,20,25.57,1,10.29,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-04-18,Game,418.1,282.03,280.22,1.006,68,29.71,22,10.57,True
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-04-19,Practice,127.9,248.54,269.21,0.923,51,29.0,27,11.57,True
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-04-20,Practice,319.95,284.34,277.11,1.026,38,34.29,4,12.0,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-04-21,Game,430.8,305.25,273.12,1.118,53,41.14,27,14.86,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-04-22,Game,555.6,306.36,278.72,1.099,62,42.14,14,13.71,True
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-04-23,Rest Day,150.0,326.32,283.96,1.149,4,42.29,0,13.57,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-04-24,Strength Training,312.6,330.71,291.23,1.136,11,41.0,1,13.57,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-04-25,Game,555.8,350.38,291.6,1.202,37,36.57,13,12.29,True
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-04-26,Practice,332.7,379.64,287.69,1.32,33,34.0,7,9.43,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-04-27,Practice,318.9,379.49,286.6,1.324,51,35.86,22,12.0,False
P001,Aaron Adams,Brooklyn Bats,Left Field,2026-04-28,Practice,328.4,364.86,282.17,1.293,25,31.86,14,10.14,False
